square_contain_id	geometry
205431.0	POINT (3374743.292909003 8385616.04121901)
339769.0	POINT (3367816.583545375 8364509.218732625)
218179.0	POINT (3375505.726023643 8383518.645022412)
247454.0	POINT (3372856.882714322 8378987.501881245)
197775.0	POINT (3373488.154518359 8386743.167615188)
324557.0	POINT (3375452.482178363 8366903.25871345)
142251.0	POINT (3363038.922621788 8395502.352075264)
164726.0	POINT (3381055.686898333 8391925.180060117)
210559.0	POINT (3377966.6907418 8384764.748518463)
178037.0	POINT (3374378.747569756 8389907.887299256)
83790.0	POINT (3377312.123742446 8404707.363188952)
299141.0	POINT (3381855.208216401 8370851.520598851)
207357.0	POINT (3376223.523629226 8385279.902871704)
185684.0	POINT (3374689.971451774 8388650.543080024)
265948.0	POINT (3374898.431814534 8376059.731290178)
133963.0	POINT (3362288.333945495 8396726.200235751)
325134.0	POINT (3369452.361624605 8366727.788401612)
233464.0	POINT (3375216.200358658 8381121.047223101)
104849.0	POINT (3381095.081341048 8401369.409971714)
200451.0	POINT (3386309.924929724 8386364.733665954)
205455.0	POINT (3377135.237071576 8385542.138826272)
188936.0	POINT (3381422.299084302 8388120.353602692)
178671.0	POINT (3374149.425689519 8389748.176641675)
199723.0	POINT (3377177.315839096 8386480.54347227)
160206.0	POINT (3374962.328389617 8392714.045996726)
285060.0	POINT (3375074.60356937 8373072.52207364)
65910.0	POINT (3372925.480133391 8407434.4858709)
83663.0	POINT (3364630.814928731 8404696.658639865)
202151.0	POINT (3365199.33862974 8386036.079490364)
204824.0	POINT (3377738.265885151 8385696.215969731)
323281.0	POINT (3375249.262258556 8367062.47853152)
210514.0	POINT (3373379.094813229 8384800.610447063)
199696.0	POINT (3374503.706225123 8386460.541617035)
250019.0	POINT (3374558.32072503 8378596.834445733)
207367.0	POINT (3377175.461078268 8385234.7300664)
210027.0	POINT (3388388.47934487 8384893.618902193)
177400.0	POINT (3374468.912628096 8390010.539286116)
314262.0	POINT (3365121.081027711 8368500.267294504)
222189.0	POINT (3394307.222144856 8382964.63338862)
299866.0	POINT (3390651.427004714 8370749.508011874)
171656.0	POINT (3373353.491330347 8390846.604606496)
69558.0	POINT (3355559.922254355 8406831.271763178)
183123.0	POINT (3373383.853276182 8389056.672382295)
204766.0	POINT (3371931.950917337 8385713.647827017)
128231.0	POINT (3362452.250893813 8397697.062384684)
134152.0	POINT (3381241.376191334 8396758.281707233)
155045.0	POINT (3368465.63802581 8393457.819502467)
347923.0	POINT (3355078.170526815 8363182.33558396)
205449.0	POINT (3376530.549597587 8385522.756950012)
229015.0	POINT (3376180.265576416 8381911.173574498)
115504.0	POINT (3363674.261605871 8399620.782645097)
